"","Depots RunID (Origin)","Power Plant RunID (Destination)","Distance (km)"
"1",1008,1000,54.2767
"2",1178,1000,56.0749
"3",1247,1000,61.6535
"4",1251,1000,66.048
"5",1263,1000,85.7519
"6",1361,1000,60.3024
"7",1397,1000,67.7507
"8",1400,1000,63.5252
"9",1464,1000,64.5094
"10",1475,1000,60.1781
"11",1512,1000,74.4204
"12",1532,1000,62.8241
"13",1763,1000,80.0256
"14",1864,1000,67.4321
"15",1917,1000,70.1361
"16",1940,1000,83.5985
"17",1980,1000,78.0567
"18",2018,1000,90.2279
"19",2052,1000,76.3292
"20",2261,1000,79.0243
"21",2449,1000,93.244
"22",376,1000,63.696
"23",480,1000,40.9321
"24",607,1000,58.9592
"25",638,1000,69.9619
"26",648,1000,60.8906
"27",680,1000,87.9411
"28",757,1000,42.9669
"29",867,1000,52.2771
"30",896,1000,67.7988
"31",1035,1000,38.9301
"32",1090,1000,37.5297
"33",1132,1000,28.5882
"34",1156,1000,47.5731
"35",1192,1000,35.2933
"36",1204,1000,39.4657
"37",1249,1000,32.3651
"38",1302,1000,33.8673
"39",1324,1000,57.8393
"40",1339,1000,40.132
"41",1369,1000,45.7997
"42",1421,1000,47.4303
"43",1425,1000,53.1279
"44",1440,1000,44.7283
"45",1457,1000,35.1713
"46",1467,1000,44.4189
"47",1553,1000,41.9528
"48",1561,1000,48.9498
"49",1573,1000,49.524
"50",1667,1000,46.9449
"51",1704,1000,45.8018
"52",1724,1000,50.1708
"53",1890,1000,56.925
"54",539,1000,58.1449
"55",547,1000,66.7497
"56",700,1000,54.28
"57",821,1000,59.8465
"58",868,1000,45.3125
"59",886,1000,67.5232
"60",960,1000,24.6207
